,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
New Grass — piano reworks,,,,,,,,,,,,,,,,,,
Love Divine - Original Mix,0.563,0.618,8.0,-7.231,1.0,0.0315,0.00716,0.854,0.505,0.234,95.006,audio_features,0DKibPCIvqOjq272vY6uWI,spotify:track:0DKibPCIvqOjq272vY6uWI,https://api.spotify.com/v1/tracks/0DKibPCIvqOjq272vY6uWI,https://api.spotify.com/v1/audio-analysis/0DKibPCIvqOjq272vY6uWI,357474.0,4.0
Rock Tha Party,0.812,0.711,8.0,-4.863,1.0,0.0481,0.059,0.0,0.0898,0.899,109.972,audio_features,0MJCvfI7CV8drZaQlJynYR,spotify:track:0MJCvfI7CV8drZaQlJynYR,https://api.spotify.com/v1/tracks/0MJCvfI7CV8drZaQlJynYR,https://api.spotify.com/v1/audio-analysis/0MJCvfI7CV8drZaQlJynYR,211489.0,4.0
Just Electric - Martyn Zij Interpretation,0.685,0.544,2.0,-9.536,1.0,0.0417,0.0468,0.248,0.278,0.0922,140.101,audio_features,2NpJKBu5plJBhWgt4AFtNc,spotify:track:2NpJKBu5plJBhWgt4AFtNc,https://api.spotify.com/v1/tracks/2NpJKBu5plJBhWgt4AFtNc,https://api.spotify.com/v1/audio-analysis/2NpJKBu5plJBhWgt4AFtNc,300852.0,4.0
Moment Of Truth - Ruben de Ronde Mix,0.579,0.858,11.0,-6.243,0.0,0.0299,0.000468,0.157,0.689,0.245,125.013,audio_features,1jhZumxKM3pnE0cnhYodAS,spotify:track:1jhZumxKM3pnE0cnhYodAS,https://api.spotify.com/v1/tracks/1jhZumxKM3pnE0cnhYodAS,https://api.spotify.com/v1/audio-analysis/1jhZumxKM3pnE0cnhYodAS,221000.0,4.0
Twelve-Bar Blues Backing Track Pentatonic A Minor,0.919,0.348,9.0,-7.655,1.0,0.0893,0.249,0.932,0.0603,0.806,90.007,audio_features,0PBuQt710ruvqgW4LIyUYU,spotify:track:0PBuQt710ruvqgW4LIyUYU,https://api.spotify.com/v1/tracks/0PBuQt710ruvqgW4LIyUYU,https://api.spotify.com/v1/audio-analysis/0PBuQt710ruvqgW4LIyUYU,405879.0,4.0
AlterCode,0.405,0.881,1.0,-6.97,1.0,0.0829,2.15e-05,0.123,0.098,0.152,159.991,audio_features,6fHbEun16zXraGJtv7azmh,spotify:track:6fHbEun16zXraGJtv7azmh,https://api.spotify.com/v1/tracks/6fHbEun16zXraGJtv7azmh,https://api.spotify.com/v1/audio-analysis/6fHbEun16zXraGJtv7azmh,324500.0,4.0
Celestial Waves - Ambient Version,0.36,0.561,0.0,-13.724,1.0,0.0526,0.485,0.901,0.117,0.069,124.015,audio_features,4CjooaRXGtgxlEv5TNgmJb,spotify:track:4CjooaRXGtgxlEv5TNgmJb,https://api.spotify.com/v1/tracks/4CjooaRXGtgxlEv5TNgmJb,https://api.spotify.com/v1/audio-analysis/4CjooaRXGtgxlEv5TNgmJb,380554.0,4.0
Saathee,0.627,0.528,7.0,-9.212,1.0,0.0349,0.776,0.00408,0.0943,0.328,99.964,audio_features,4g3Koi70paexFT7wuESDNM,spotify:track:4g3Koi70paexFT7wuESDNM,https://api.spotify.com/v1/tracks/4g3Koi70paexFT7wuESDNM,https://api.spotify.com/v1/audio-analysis/4g3Koi70paexFT7wuESDNM,262867.0,4.0
I Shot the Sheriff,0.73,0.639,7.0,-11.025,0.0,0.0524,0.0853,0.00221,0.102,0.658,94.395,audio_features,0UOxp1BpnD8uPQMKU4wKjz,spotify:track:0UOxp1BpnD8uPQMKU4wKjz,https://api.spotify.com/v1/tracks/0UOxp1BpnD8uPQMKU4wKjz,https://api.spotify.com/v1/audio-analysis/0UOxp1BpnD8uPQMKU4wKjz,263747.0,4.0
Bekal,,,,,,,,,,,,,,,,,,
Day 'N Nite,0.751,0.641,11.0,-6.967,0.0,0.0461,0.0299,0.0626,0.0557,0.965,129.993,audio_features,6ouTGbETM7ZdID1eMXZJde,spotify:track:6ouTGbETM7ZdID1eMXZJde,https://api.spotify.com/v1/tracks/6ouTGbETM7ZdID1eMXZJde,https://api.spotify.com/v1/audio-analysis/6ouTGbETM7ZdID1eMXZJde,281080.0,4.0
Horn,,,,,,,,,,,,,,,,,,
Kogu See Vagi,0.657,0.8,10.0,-7.809,0.0,0.0442,0.0159,0.779,0.128,0.556,96.07,audio_features,5gmESMd2wyZVFQaaWOI7d1,spotify:track:5gmESMd2wyZVFQaaWOI7d1,https://api.spotify.com/v1/tracks/5gmESMd2wyZVFQaaWOI7d1,https://api.spotify.com/v1/audio-analysis/5gmESMd2wyZVFQaaWOI7d1,376240.0,4.0
Eyes v3,0.583,0.924,7.0,-5.206,1.0,0.0469,0.00824,0.308,0.0692,0.0664,123.943,audio_features,6qviIDcoQkC0LKhd3dC0SM,spotify:track:6qviIDcoQkC0LKhd3dC0SM,https://api.spotify.com/v1/tracks/6qviIDcoQkC0LKhd3dC0SM,https://api.spotify.com/v1/audio-analysis/6qviIDcoQkC0LKhd3dC0SM,270968.0,3.0
Drunk in Love (feat. Jay-Z),,,,,,,,,,,,,,,,,,
The Sign,0.808,0.786,4.0,-6.897,0.0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,audio_features,0hrBpAOgrt8RXigk83LLNE,spotify:track:0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/audio-analysis/0hrBpAOgrt8RXigk83LLNE,191240.0,4.0
Meraki,0.666,0.791,6.0,-8.449,1.0,0.0487,0.00208,0.893,0.107,0.608,122.997,audio_features,7Be0ZZbeOUQfG2b6pLyQUV,spotify:track:7Be0ZZbeOUQfG2b6pLyQUV,https://api.spotify.com/v1/tracks/7Be0ZZbeOUQfG2b6pLyQUV,https://api.spotify.com/v1/audio-analysis/7Be0ZZbeOUQfG2b6pLyQUV,459556.0,4.0
Ishq Se Ishq,0.756,0.62,7.0,-10.065,1.0,0.0837,0.553,0.0,0.0868,0.878,92.936,audio_features,2kExwxFsWzfLvD0e1Bf3gQ,spotify:track:2kExwxFsWzfLvD0e1Bf3gQ,https://api.spotify.com/v1/tracks/2kExwxFsWzfLvD0e1Bf3gQ,https://api.spotify.com/v1/audio-analysis/2kExwxFsWzfLvD0e1Bf3gQ,243000.0,4.0
Cantus In Memoriam Benjamin Britten,0.0661,0.126,9.0,-18.998,0.0,0.0444,0.824,0.962,0.0784,0.028,76.243,audio_features,1EgMeDgNZqhEolnXUdjBJi,spotify:track:1EgMeDgNZqhEolnXUdjBJi,https://api.spotify.com/v1/tracks/1EgMeDgNZqhEolnXUdjBJi,https://api.spotify.com/v1/audio-analysis/1EgMeDgNZqhEolnXUdjBJi,433824.0,3.0
Crazy Race,0.781,0.393,10.0,-12.197,0.0,0.149,0.364,8.44e-06,0.107,0.733,101.07,audio_features,4XyKqXYeL0FBPFbDrXLvJZ,spotify:track:4XyKqXYeL0FBPFbDrXLvJZ,https://api.spotify.com/v1/tracks/4XyKqXYeL0FBPFbDrXLvJZ,https://api.spotify.com/v1/audio-analysis/4XyKqXYeL0FBPFbDrXLvJZ,143280.0,4.0
Life Decisions,0.378,0.0298,7.0,-26.773,1.0,0.0374,0.517,0.905,0.0904,0.0789,139.989,audio_features,2TbyvzDRUaSQWmVaIFrVyO,spotify:track:2TbyvzDRUaSQWmVaIFrVyO,https://api.spotify.com/v1/tracks/2TbyvzDRUaSQWmVaIFrVyO,https://api.spotify.com/v1/audio-analysis/2TbyvzDRUaSQWmVaIFrVyO,242638.0,4.0
Leniter,0.202,0.0495,7.0,-29.838,1.0,0.0468,0.283,0.787,0.117,0.0537,74.742,audio_features,6TsWlVkbmD6PUVFNuNrzmw,spotify:track:6TsWlVkbmD6PUVFNuNrzmw,https://api.spotify.com/v1/tracks/6TsWlVkbmD6PUVFNuNrzmw,https://api.spotify.com/v1/audio-analysis/6TsWlVkbmD6PUVFNuNrzmw,175200.0,4.0
Closing Chant - Original Mix,0.297,0.0232,5.0,-21.216,1.0,0.0397,0.984,4.31e-05,0.0829,0.131,80.753,audio_features,6xNXgF2Tm4772WpI69VttW,spotify:track:6xNXgF2Tm4772WpI69VttW,https://api.spotify.com/v1/tracks/6xNXgF2Tm4772WpI69VttW,https://api.spotify.com/v1/audio-analysis/6xNXgF2Tm4772WpI69VttW,151111.0,3.0
Aigiri Nandini - Rock Version,0.602,0.713,9.0,-12.404,1.0,0.0414,0.0325,0.0,0.106,0.712,139.948,audio_features,4JRtNMiCcMnFFetb6mzKzT,spotify:track:4JRtNMiCcMnFFetb6mzKzT,https://api.spotify.com/v1/tracks/4JRtNMiCcMnFFetb6mzKzT,https://api.spotify.com/v1/audio-analysis/4JRtNMiCcMnFFetb6mzKzT,296403.0,4.0
Walk With Your World,0.481,0.902,1.0,-7.621,1.0,0.063,4.3e-05,0.951,0.281,0.175,99.995,audio_features,01WOeVKKnCOIhfHs2hJPhi,spotify:track:01WOeVKKnCOIhfHs2hJPhi,https://api.spotify.com/v1/tracks/01WOeVKKnCOIhfHs2hJPhi,https://api.spotify.com/v1/audio-analysis/01WOeVKKnCOIhfHs2hJPhi,118000.0,4.0
Refracting Light - Cinnamon Chasers Minimalised Edit,0.746,0.78,7.0,-13.344,0.0,0.0437,0.00318,0.857,0.0845,0.15,124.99,audio_features,6hvLy1TueqvvrN7dx2tUHn,spotify:track:6hvLy1TueqvvrN7dx2tUHn,https://api.spotify.com/v1/tracks/6hvLy1TueqvvrN7dx2tUHn,https://api.spotify.com/v1/audio-analysis/6hvLy1TueqvvrN7dx2tUHn,312960.0,4.0
Disappear (feat. Sarah de Warren),0.41,0.432,2.0,-9.097,0.0,0.0409,0.0951,0.0123,0.104,0.0924,139.901,audio_features,4OiHLCXLbc5JA9PZ5U2Tcl,spotify:track:4OiHLCXLbc5JA9PZ5U2Tcl,https://api.spotify.com/v1/tracks/4OiHLCXLbc5JA9PZ5U2Tcl,https://api.spotify.com/v1/audio-analysis/4OiHLCXLbc5JA9PZ5U2Tcl,344679.0,4.0
Jadu Salona,0.604,0.281,0.0,-11.76,1.0,0.0261,0.92,0.0274,0.108,0.25,140.012,audio_features,6Eq3E0eekWhb56ZPGCmE0L,spotify:track:6Eq3E0eekWhb56ZPGCmE0L,https://api.spotify.com/v1/tracks/6Eq3E0eekWhb56ZPGCmE0L,https://api.spotify.com/v1/audio-analysis/6Eq3E0eekWhb56ZPGCmE0L,209786.0,3.0
To Speak Of Solitude,,,,,,,,,,,,,,,,,,
Shrub Talk - Loci Sample Flip,0.728,0.578,5.0,-10.931,0.0,0.0358,0.09,0.783,0.133,0.0799,100.006,audio_features,2Cj14cmJvgvyUQz1RVqJ4X,spotify:track:2Cj14cmJvgvyUQz1RVqJ4X,https://api.spotify.com/v1/tracks/2Cj14cmJvgvyUQz1RVqJ4X,https://api.spotify.com/v1/audio-analysis/2Cj14cmJvgvyUQz1RVqJ4X,278483.0,4.0
Alexander the Great (356-323 B.C.) - 2015 Remaster,0.454,0.944,4.0,-5.003,0.0,0.0849,0.084,0.0119,0.11,0.288,113.321,audio_features,2mpdTbHtsUTbunJ62itq2E,spotify:track:2mpdTbHtsUTbunJ62itq2E,https://api.spotify.com/v1/tracks/2mpdTbHtsUTbunJ62itq2E,https://api.spotify.com/v1/audio-analysis/2mpdTbHtsUTbunJ62itq2E,517093.0,4.0
Sacred Moon (feat. Kheertana Kunalan),,,,,,,,,,,,,,,,,,
Enjoy the Silence,0.38,0.591,0.0,-11.966,0.0,0.0321,0.348,0.0146,0.127,0.22,113.003,audio_features,1EjQRTG53jsinzk2xlVVJP,spotify:track:1EjQRTG53jsinzk2xlVVJP,https://api.spotify.com/v1/tracks/1EjQRTG53jsinzk2xlVVJP,https://api.spotify.com/v1/audio-analysis/1EjQRTG53jsinzk2xlVVJP,372813.0,4.0
Je Toon Akhian De Samne Nahin Rehna,0.404,0.728,1.0,-12.82,1.0,0.071,0.221,0.0,0.408,0.771,110.385,audio_features,2ImegcJfmRAUExdSm4tzqG,spotify:track:2ImegcJfmRAUExdSm4tzqG,https://api.spotify.com/v1/tracks/2ImegcJfmRAUExdSm4tzqG,https://api.spotify.com/v1/audio-analysis/2ImegcJfmRAUExdSm4tzqG,587907.0,4.0
Electric Eagle,0.793,0.346,0.0,-12.246,1.0,0.0572,0.457,0.00717,0.0968,0.362,90.018,audio_features,13cXrIM0O1fwPjNajfaf3d,spotify:track:13cXrIM0O1fwPjNajfaf3d,https://api.spotify.com/v1/tracks/13cXrIM0O1fwPjNajfaf3d,https://api.spotify.com/v1/audio-analysis/13cXrIM0O1fwPjNajfaf3d,377500.0,4.0
So Long,0.584,0.6,1.0,-6.646,0.0,0.0625,0.105,0.0387,0.0942,0.529,147.05,audio_features,3T0M3nCkp5WKHQsjoBs8Ih,spotify:track:3T0M3nCkp5WKHQsjoBs8Ih,https://api.spotify.com/v1/tracks/3T0M3nCkp5WKHQsjoBs8Ih,https://api.spotify.com/v1/audio-analysis/3T0M3nCkp5WKHQsjoBs8Ih,143716.0,4.0
Kattey,0.653,0.887,11.0,-2.237,0.0,0.113,0.0868,0.0,0.0618,0.76,92.004,audio_features,58IDIdFRFDCEbiKvgMxlUU,spotify:track:58IDIdFRFDCEbiKvgMxlUU,https://api.spotify.com/v1/tracks/58IDIdFRFDCEbiKvgMxlUU,https://api.spotify.com/v1/audio-analysis/58IDIdFRFDCEbiKvgMxlUU,295360.0,4.0
Calico Peaks,0.846,0.407,0.0,-8.4,1.0,0.0562,0.187,0.899,0.0686,0.261,144.001,audio_features,4wTjIzAuxSWovH5VBuhA2n,spotify:track:4wTjIzAuxSWovH5VBuhA2n,https://api.spotify.com/v1/tracks/4wTjIzAuxSWovH5VBuhA2n,https://api.spotify.com/v1/audio-analysis/4wTjIzAuxSWovH5VBuhA2n,460000.0,4.0
Ten Paces,,,,,,,,,,,,,,,,,,
Mystical Landscapes - Original Mix,0.156,0.0039,2.0,-34.429,1.0,0.042,0.953,0.897,0.129,0.0358,132.687,audio_features,1Hg2rQfnn2nhV09andC0rI,spotify:track:1Hg2rQfnn2nhV09andC0rI,https://api.spotify.com/v1/tracks/1Hg2rQfnn2nhV09andC0rI,https://api.spotify.com/v1/audio-analysis/1Hg2rQfnn2nhV09andC0rI,482000.0,4.0
Inikanaue Kaiowá (Fanfara Electronica Remix),,,,,,,,,,,,,,,,,,
Ahi Kaa,0.833,0.355,9.0,-11.041,0.0,0.213,0.209,0.00486,0.0912,0.62,156.024,audio_features,1W3IYnDRfMoytWFvQOOWVA,spotify:track:1W3IYnDRfMoytWFvQOOWVA,https://api.spotify.com/v1/tracks/1W3IYnDRfMoytWFvQOOWVA,https://api.spotify.com/v1/audio-analysis/1W3IYnDRfMoytWFvQOOWVA,213884.0,4.0
Bin Tere Sanam (Recreated New),0.812,0.502,11.0,-8.042,0.0,0.0472,0.203,0.0,0.343,0.611,120.018,audio_features,3Fw8mcDmvGb4NDxhpJpmgh,spotify:track:3Fw8mcDmvGb4NDxhpJpmgh,https://api.spotify.com/v1/tracks/3Fw8mcDmvGb4NDxhpJpmgh,https://api.spotify.com/v1/audio-analysis/3Fw8mcDmvGb4NDxhpJpmgh,221837.0,4.0
Positive Thinking,0.287,0.217,6.0,-17.111,1.0,0.0302,0.892,0.879,0.1,0.0862,86.969,audio_features,4u3g32JVgrJ71vuuVHFkqy,spotify:track:4u3g32JVgrJ71vuuVHFkqy,https://api.spotify.com/v1/tracks/4u3g32JVgrJ71vuuVHFkqy,https://api.spotify.com/v1/audio-analysis/4u3g32JVgrJ71vuuVHFkqy,461560.0,4.0
In The Physical,0.611,0.613,8.0,-6.942,1.0,0.129,4.73e-05,0.105,0.159,0.491,127.979,audio_features,3ezkJgagRPZ39KCTrKcSI7,spotify:track:3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/tracks/3ezkJgagRPZ39KCTrKcSI7,https://api.spotify.com/v1/audio-analysis/3ezkJgagRPZ39KCTrKcSI7,328747.0,4.0
taming the tiger,0.248,0.0978,9.0,-24.103,0.0,0.0377,0.97,0.94,0.0849,0.0426,114.844,audio_features,5iR4ziuzYZO1VondRmrvsc,spotify:track:5iR4ziuzYZO1VondRmrvsc,https://api.spotify.com/v1/tracks/5iR4ziuzYZO1VondRmrvsc,https://api.spotify.com/v1/audio-analysis/5iR4ziuzYZO1VondRmrvsc,137067.0,4.0
Be My Fire,,,,,,,,,,,,,,,,,,
Petra,0.823,0.887,0.0,-12.721,1.0,0.0393,0.000299,0.631,0.128,0.743,120.005,audio_features,4jX35n5hgGPbUaFYtNXa5r,spotify:track:4jX35n5hgGPbUaFYtNXa5r,https://api.spotify.com/v1/tracks/4jX35n5hgGPbUaFYtNXa5r,https://api.spotify.com/v1/audio-analysis/4jX35n5hgGPbUaFYtNXa5r,276006.0,4.0
Wind Walkers,,,,,,,,,,,,,,,,,,
Remember the Name (feat. Styles of Beyond),0.688,0.835,8.0,-4.162,1.0,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,audio_features,6ndmKwWqMozN2tcZqzCX4K,spotify:track:6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/tracks/6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/audio-analysis/6ndmKwWqMozN2tcZqzCX4K,230493.0,4.0
Stay The Same - Radio Edit,0.639,0.549,1.0,-7.992,0.0,0.044,0.616,0.0561,0.181,0.435,100.014,audio_features,1a2utV5yxcl9UQrZnYC5DJ,spotify:track:1a2utV5yxcl9UQrZnYC5DJ,https://api.spotify.com/v1/tracks/1a2utV5yxcl9UQrZnYC5DJ,https://api.spotify.com/v1/audio-analysis/1a2utV5yxcl9UQrZnYC5DJ,210751.0,4.0
"You Have Come (Feat. Phanendra, Dada Devavratananda, Giita, Prema Sagar, Didi Ananda Gunamrta & Sukhadeva)",,,,,,,,,,,,,,,,,,
La Hafla,0.656,0.926,10.0,-3.749,0.0,0.0739,0.0031,0.000138,0.0527,0.68,104.007,audio_features,1XeEcJepyVi0o4GyQUJwz3,spotify:track:1XeEcJepyVi0o4GyQUJwz3,https://api.spotify.com/v1/tracks/1XeEcJepyVi0o4GyQUJwz3,https://api.spotify.com/v1/audio-analysis/1XeEcJepyVi0o4GyQUJwz3,248907.0,4.0
The Object at Hand,0.607,0.124,9.0,-18.633,0.0,0.0329,0.945,0.839,0.113,0.0805,97.094,audio_features,0sm2PC8NP8L0J2sxPJwKvA,spotify:track:0sm2PC8NP8L0J2sxPJwKvA,https://api.spotify.com/v1/tracks/0sm2PC8NP8L0J2sxPJwKvA,https://api.spotify.com/v1/audio-analysis/0sm2PC8NP8L0J2sxPJwKvA,139212.0,4.0
B-Runner,0.466,0.879,11.0,-6.784,0.0,0.0486,0.0582,0.93,0.0889,0.231,191.98,audio_features,5YhojKYX7QaLtpDcSbgTBn,spotify:track:5YhojKYX7QaLtpDcSbgTBn,https://api.spotify.com/v1/tracks/5YhojKYX7QaLtpDcSbgTBn,https://api.spotify.com/v1/audio-analysis/5YhojKYX7QaLtpDcSbgTBn,403500.0,4.0
Coming Home (feat. Akanksha Grover),0.547,0.513,2.0,-12.074,1.0,0.0299,0.591,0.528,0.0562,0.0748,127.953,audio_features,6CQhSRMH7HYenOa3OToRyh,spotify:track:6CQhSRMH7HYenOa3OToRyh,https://api.spotify.com/v1/tracks/6CQhSRMH7HYenOa3OToRyh,https://api.spotify.com/v1/audio-analysis/6CQhSRMH7HYenOa3OToRyh,294856.0,4.0
Alien Frequencies - Original Mix,0.189,0.00835,2.0,-39.46,1.0,0.0455,0.99,0.203,0.0547,0.0331,135.284,audio_features,0YWNvDDQEqbz1Rvbq0JNea,spotify:track:0YWNvDDQEqbz1Rvbq0JNea,https://api.spotify.com/v1/tracks/0YWNvDDQEqbz1Rvbq0JNea,https://api.spotify.com/v1/audio-analysis/0YWNvDDQEqbz1Rvbq0JNea,408000.0,4.0
The Elephant's Funeral,0.244,0.429,8.0,-7.475,0.0,0.0335,0.435,0.669,0.0767,0.14,104.855,audio_features,0Pahmrb7MAMmJmp5T4DsXh,spotify:track:0Pahmrb7MAMmJmp5T4DsXh,https://api.spotify.com/v1/tracks/0Pahmrb7MAMmJmp5T4DsXh,https://api.spotify.com/v1/audio-analysis/0Pahmrb7MAMmJmp5T4DsXh,364050.0,4.0
Aruna Chandra,0.771,0.652,2.0,-11.477,1.0,0.0388,0.00491,0.756,0.107,0.21,100.001,audio_features,20qCEmcOcBQC7DS2T70Pz4,spotify:track:20qCEmcOcBQC7DS2T70Pz4,https://api.spotify.com/v1/tracks/20qCEmcOcBQC7DS2T70Pz4,https://api.spotify.com/v1/audio-analysis/20qCEmcOcBQC7DS2T70Pz4,538000.0,4.0
"Shiva Style - Berg, Phanatic Remix",0.383,0.754,2.0,-7.816,1.0,0.0641,0.00757,0.684,0.095,0.232,138.002,audio_features,6Jf6SuWBMPpQydPRPAYy3n,spotify:track:6Jf6SuWBMPpQydPRPAYy3n,https://api.spotify.com/v1/tracks/6Jf6SuWBMPpQydPRPAYy3n,https://api.spotify.com/v1/audio-analysis/6Jf6SuWBMPpQydPRPAYy3n,422609.0,4.0
The 8000ers,0.176,0.0802,1.0,-26.306,1.0,0.037,0.575,0.925,0.123,0.0324,76.625,audio_features,1W295zkDzJOh9UOPlozR0F,spotify:track:1W295zkDzJOh9UOPlozR0F,https://api.spotify.com/v1/tracks/1W295zkDzJOh9UOPlozR0F,https://api.spotify.com/v1/audio-analysis/1W295zkDzJOh9UOPlozR0F,135000.0,4.0
Aya - 2023 Universo Paralello Rework,0.795,0.544,0.0,-11.773,1.0,0.0563,0.00549,0.873,0.137,0.381,123.014,audio_features,4kO7UffkCgDSw0Uek4NvTe,spotify:track:4kO7UffkCgDSw0Uek4NvTe,https://api.spotify.com/v1/tracks/4kO7UffkCgDSw0Uek4NvTe,https://api.spotify.com/v1/audio-analysis/4kO7UffkCgDSw0Uek4NvTe,476585.0,4.0
Hands of Heart,,,,,,,,,,,,,,,,,,
Woodwind,,,,,,,,,,,,,,,,,,
So It Goes,0.0598,0.106,5.0,-14.648,0.0,0.0397,0.431,0.71,0.134,0.0341,60.117,audio_features,3iK21KETC4ZdX2cz24ja5R,spotify:track:3iK21KETC4ZdX2cz24ja5R,https://api.spotify.com/v1/tracks/3iK21KETC4ZdX2cz24ja5R,https://api.spotify.com/v1/audio-analysis/3iK21KETC4ZdX2cz24ja5R,437050.0,4.0
Equinox - An-Ten-Nae Remix,0.74,0.465,11.0,-6.323,0.0,0.0334,0.00721,0.628,0.386,0.521,86.993,audio_features,4dXB6o5p4HwaM0trrdItW6,spotify:track:4dXB6o5p4HwaM0trrdItW6,https://api.spotify.com/v1/tracks/4dXB6o5p4HwaM0trrdItW6,https://api.spotify.com/v1/audio-analysis/4dXB6o5p4HwaM0trrdItW6,140609.0,4.0
Nelumbo´s Dance,0.605,0.598,1.0,-13.851,1.0,0.043,0.0271,0.887,0.351,0.0336,130.003,audio_features,5YeBbHMt3jTygpAyL1iFov,spotify:track:5YeBbHMt3jTygpAyL1iFov,https://api.spotify.com/v1/tracks/5YeBbHMt3jTygpAyL1iFov,https://api.spotify.com/v1/audio-analysis/5YeBbHMt3jTygpAyL1iFov,524000.0,4.0
One More Night,0.716,0.821,5.0,-3.435,0.0,0.0314,0.0558,0.0,0.0844,0.618,92.997,audio_features,6cpk00i5TxCqSeqNi2HuIe,spotify:track:6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/tracks/6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/audio-analysis/6cpk00i5TxCqSeqNi2HuIe,219547.0,4.0
5 minutes Meditation music,0.156,0.00441,3.0,-31.092,1.0,0.0396,0.99,0.958,0.111,0.0486,74.91,audio_features,29XktKI97iBuxEBkiE0gJl,spotify:track:29XktKI97iBuxEBkiE0gJl,https://api.spotify.com/v1/tracks/29XktKI97iBuxEBkiE0gJl,https://api.spotify.com/v1/audio-analysis/29XktKI97iBuxEBkiE0gJl,305043.0,3.0
OM Chanting + Tibetan Singing Bowls Meditation + Rain Sound @ 432Hz   ,0.0714,0.0361,8.0,-29.371,1.0,0.0452,0.933,0.972,0.109,0.0311,77.824,audio_features,74OnNzQEy5KrRCSztE6jqq,spotify:track:74OnNzQEy5KrRCSztE6jqq,https://api.spotify.com/v1/tracks/74OnNzQEy5KrRCSztE6jqq,https://api.spotify.com/v1/audio-analysis/74OnNzQEy5KrRCSztE6jqq,1788833.0,3.0
Exiled - Manta Mix,0.588,0.763,7.0,-11.7,1.0,0.0463,0.509,0.817,0.111,0.186,125.998,audio_features,6IVT5GiIcEG32hQxWLGoRZ,spotify:track:6IVT5GiIcEG32hQxWLGoRZ,https://api.spotify.com/v1/tracks/6IVT5GiIcEG32hQxWLGoRZ,https://api.spotify.com/v1/audio-analysis/6IVT5GiIcEG32hQxWLGoRZ,550240.0,4.0
Electric Krishna - Original Mix,0.688,0.725,11.0,-11.774,0.0,0.0394,0.234,0.837,0.105,0.471,99.994,audio_features,0sHciynxx7OCxwj8GhSOXm,spotify:track:0sHciynxx7OCxwj8GhSOXm,https://api.spotify.com/v1/tracks/0sHciynxx7OCxwj8GhSOXm,https://api.spotify.com/v1/audio-analysis/0sHciynxx7OCxwj8GhSOXm,499200.0,4.0
Fanaa,0.656,0.868,3.0,-6.342,1.0,0.0484,0.00881,4.48e-05,0.0677,0.665,134.991,audio_features,0tjX1dX2EgNtpNyDwkVdXP,spotify:track:0tjX1dX2EgNtpNyDwkVdXP,https://api.spotify.com/v1/tracks/0tjX1dX2EgNtpNyDwkVdXP,https://api.spotify.com/v1/audio-analysis/0tjX1dX2EgNtpNyDwkVdXP,243000.0,4.0
Tera Ban Jaunga Reprise Cover,0.589,0.567,11.0,-7.761,0.0,0.0228,0.0968,2.61e-05,0.118,0.262,94.003,audio_features,7liFlRYGLLTeD9fjExwy7B,spotify:track:7liFlRYGLLTeD9fjExwy7B,https://api.spotify.com/v1/tracks/7liFlRYGLLTeD9fjExwy7B,https://api.spotify.com/v1/audio-analysis/7liFlRYGLLTeD9fjExwy7B,229787.0,4.0
Pitre Purus,0.547,0.476,11.0,-10.003,0.0,0.0293,0.121,0.865,0.112,0.139,119.986,audio_features,1v7BlbVD4BZYrwUMqEVsbK,spotify:track:1v7BlbVD4BZYrwUMqEVsbK,https://api.spotify.com/v1/tracks/1v7BlbVD4BZYrwUMqEVsbK,https://api.spotify.com/v1/audio-analysis/1v7BlbVD4BZYrwUMqEVsbK,354462.0,4.0
Midnight in the Darbar - Majal Remix,,,,,,,,,,,,,,,,,,
Take Out,0.608,0.782,4.0,-8.726,0.0,0.0254,0.000161,0.777,0.227,0.729,102.334,audio_features,5W5yTxsV46wZrBXfVZOkrs,spotify:track:5W5yTxsV46wZrBXfVZOkrs,https://api.spotify.com/v1/tracks/5W5yTxsV46wZrBXfVZOkrs,https://api.spotify.com/v1/audio-analysis/5W5yTxsV46wZrBXfVZOkrs,284680.0,4.0
Welkom - Dizharmonia Remix,0.748,0.804,2.0,-7.637,1.0,0.0537,0.00246,0.791,0.0828,0.354,101.996,audio_features,0ymuQXR33VCQN907Xv04vC,spotify:track:0ymuQXR33VCQN907Xv04vC,https://api.spotify.com/v1/tracks/0ymuQXR33VCQN907Xv04vC,https://api.spotify.com/v1/audio-analysis/0ymuQXR33VCQN907Xv04vC,400000.0,4.0
Tibet - Cyrus Svance Remix,,,,,,,,,,,,,,,,,,
